num,author,title,format,year,venue
613,"Dickson, Carter (see also Carr, John Dickson)",THE PLAGUE COURT MURDERS,novel,1934,
614,"Dickson, Carter (see also Carr, John Dickson)",THE READER IS WARNED,novel,1939,
615,"Dickson, Carter (see also Carr, John Dickson)",THE RED WIDOW MURDERS,novel,1935,
616,"Dickson, Carter (see also Carr, John Dickson)",SEEING IS BELIEVING,novel,1941,
617,"Dickson, Carter (see also Carr, John Dickson)",SHE DIED A LADY,novel,1943,
618,"Dickson, Carter (see also Carr, John Dickson)",THE SKELETON IN THE CLOCK,novel,1948,
619,"Dickson, Carter (see also Carr, John Dickson)",THE TEN TEACUPS,novel,1937,
620,"Dickson, Carter (see also Carr, John Dickson)",THE UNICORN MURDERS,novel,1935,
621,"Dickson, Carter (see also Carr, John Dickson)",THE WHITE PRIORY MURDERS,novel,1934,
622,"Dickson, Carter (see also Carr, John Dickson)",Blind Man's Hood,short story,1940,The Department of Queer Complaints; EQMM; Murder for Christmas; Big Book of Locked-Room Mysteries
623,"Dickson, Carter (see also Carr, John Dickson)",The Crime in Nobody's Room,short story,1939,"Detection Medley; Line-Up; The Department of Queer Complaints; 101 Years' Entertainment; Merrivale, March and Murder"
624,"Dickson, Carter (see also Carr, John Dickson)",Death in the Dressing Room,short story,1939,"The Department of Queer Complaints; Merrivale, March and Murder"
625,"Dickson, Carter (see also Carr, John Dickson)",The Diamond Pentacle,short story,1939,"The Times; Merrivale, March and Murder"
626,"Dickson, Carter (see also Carr, John Dickson)",Error at Daybreak,short story,1938,"The Second Century of Detective Stories; The Department of Queer Complaints; EQMM; Merrivale, March and Murder"
627,"Dickson, Carter (see also Carr, John Dickson)",The Footprint in the Sky,short story,1958,"The Department of Queer Complaints; EQMM; Rogues' Gallery; Merrivale, March and Murder"
628,"Dickson, Carter (see also Carr, John Dickson)",Hot Money,short story,1966,"The Department of Queer Complaints; EQMM; Merrivale, March and Murder"
629,"Dickson, Carter (see also Carr, John Dickson)",The New Invisible Man,short story,1967,"The Department of Queer Complaints; EQMM; Whodunit? Houdini?; Merrivale, March and Murder"
630,"Dickson, Carter (see also Carr, John Dickson)",New Murders for Old,short story,1966,"The Department of Queer Complaints; EQMM; Merrivale, March and Murder"
631,"Dickson, Carter (see also Carr, John Dickson)",The Other Hangman,short story,1935,A Century of Detective Stories; The Department of Queer Complaints; EQMM; Fell and Foul Play
632,"Dickson, Carter (see also Carr, John Dickson)",Persons or Things Unknown,short story,1947,Detection Medley; Line-Up; The Department of Queer Complaints; Murder by Experts; Fell and Foul Play
633,"Dickson, Carter (see also Carr, John Dickson)",The Silver Curtain,short story,1960,"The Department of Queer Complaints; EQMM; Merrivale, March and Murder; The Mammoth Book of Locked-Room Mysteries and Impossible Crimes"
634,"Dickson, Carter, and John Rhode",DROP TO HIS DEATH,novel,1939,
635,"Didelot, Francis",THE TENTH LEPER,novel,1962,
636,"Didelot, Roger Francis",MURDER IN THE BATH,novel,1933,
637,"Diehl, V. Vidal",The Room 31 Riddle,short story,1922,The 20 Story Magazine
638,"Dillard, R.H.W.",THE BOOK OF CHANGES,novel,1974,
639,"Dillard, R.H.W.",MURDER IN THE EMBASSY,novel,1930,
640,"Dix, Maurice",MURDER AT GRASSMERE ABBEY,novel,1933,
641,"Dolphin, Rex",The Phantom Guest,short story,1964,Edgar Wallace Mystery Magazine
642,"Donavan, John (Nigel Morland, q.v.)",THE CASE OF THE TALKING DUST,novel,1938,
643,"Donavan, John (Nigel Morland, q.v.)",THE DEAD HAVE NO FRIENDS,novel,1952,
644,"Donovan, Dick (J. E. Preston Muddock)","""Find the Missing Man"" competition",short story,1898,All Sorts Magazine
645,"Donovan, Dick (J. E. Preston Muddock)",The Saltmarket Murder Case,short story,1888,The Man-Hunter; Lovell
646,"Dorrington, Albert",THE RADIUM TERRORS,novel,1912,
647,"Doty, William L.","BUTTON, BUTTON...",novel,1979,
648,"Doty, William L.",The Casallis Mystery,short story,1892,Pearson's Weekly Extra Christmas Number
649,"Downey, Edmund",THE UGLY MAN,novel,1896,
650,"Doyle, Adrian Conan and John Dickson Carr (q.v)",The Adventure of the Deptford Horror,short story,1954,The Exploits of Sherlock Holmes; Random
651,"Doyle, Adrian Conan and John Dickson Carr (q.v)",The Adventure of the Sealed Room,short story,1954,The Exploits of Sherlock Holmes
652,"Doyle, Sir Arthur Conan",The Adventure of the Speckled Band,short story,1892,The Strand Magazine; The Adventures of Sherlock Holmes; Harper; Tantalizing Locked Room Mysteries; Big Book of Locked-Room Mysteries
653,"Doyle, Sir Arthur Conan",J. Habakuk Jephson's Statement,short story,1887,Dreamland and Ghostland; Strange Stories of Coincidence; The Captain of the Polestar
654,"Doyle, Sir Arthur Conan",The Problem of Thor Bridge,short story,1922,The Strand Magazine; The Case-Book of Sherlock Holmes
655,"Doyle, Sir Arthur Conan",The Story of the Lost Special,short story,1898,The Strand Magazine; Round the Fire Stories; The Black Doctor and Other Tales of Terror and Mystery; Death Locked In
656,"Dresser, Davis (see also Halliday, Michael)",Murder Takes a Ride,short story,1946,Mystery Book Magazine
657,"Drew, Ronald",THE PHANTOM CAR juvenile,novel,1925,
658,"Drummond, Hamilton",ROOM FIVE,novel,1904,
659,"Drummond, John (John Newton Chance, q.v.)",At 60 MPH,novel,1945,
660,"Drummond, John (John Newton Chance, q.v.)",THE CASE OF THE MAN WITH NO NAME,novel,1951,
661,"Drummond, John (John Newton Chance, q.v.)",THE PAINTED DAGGER,novel,1944,
662,"Drummond, John (John Newton Chance, q.v.)",THE RIDDLE OF THE MUMMY CASE,novel,1945,
663,"Drummond, John (John Newton Chance, q.v.)",The Secret of the Sixty Steps,novel,1950,
664,"Drummond, John (John Newton Chance, q.v.)",THE TOWN OF SHADOWS,novel,1948,
665,"Dudley, Ernest",The Case of the Man Who Was Too Clever,short story,1943,Meet Dr. Morelle
666,"Duncan, David",THE SHADE OF TIME,novel,1946,
667,"Dunn, J. Allan",Jimmy Dugan Figures Out the Impossible Crime,short story,1937,Detective Weekly
668,"Dunsany, Lord",Near the Back of Beyond,short story,1955,EQMM; EQMM UK; EQMM Australia
669,"Dunsany, Lord",The Two Bottles of Relish,short story,1934,Powers of Darkness; 101 Years' Entertainment; EQMM; The Little Tales of Smethers; Perfect Crimes; Big Book of Locked-Room Mysteries
670,"Dupree, Morrison",A TAP ON THE SHOULDER,novel,1929,
671,"Durham, David (Roy Vickers, q.v.)",The Great Kabul,short story,1924,The Exploits of Fidelity Dove
672,"Durham, David (Roy Vickers, q.v.)",The Gulverbury Diamonds,short story,2014,The Exploits of Fidelity Dove; Big Book of Locked-Room Mysteries
673,"Durham, David (Roy Vickers, q.v.)",Proverbs and Profits,short story,1924,The Exploits of Fidelity Dove
674,"Durham, Mary",MURDER HATH CHARMS,novel,1948,
675,"Dutton, Charles J.",THE CIRCLE OF DEATH,novel,1933,
676,"Dutton, Charles J.",THE CROOKED CROSS,novel,1926,
677,"Dutton, Charles J.",THE SHADOW ON THE GLASS,novel,1923,
678,"Dutton, Charles J.",THE UNDERWOOD MYSTERY,novel,1921,
679,"Dyer, George",THE CATALYST CLUB,novel,1936,
680,"Dyer, George",THE THREE-CORNERED WOUND,novel,1931,
681,"Eadie, Arlton",The Clue from Mars,short story,1924,The Detective Magazine
682,"East, Roger",TWENTY-FIVE SANITARY INSPECTORS,novel,1935,
683,"Eastman, Roy",THE MYSTERIES OF BLAIR HOUSE,novel,1948,
684,"Eastman, Roy",The Adventure of the Addleton Tragedy,short story,1975,The Non-Canonical Sherlock Holmes
685,"Eberhardt, Walter",THE JIG-SAW PUZZLE MURDER,novel,1933,
686,"Eberhart, Mignon G.",THE MYSTERY OF HUNTING'S END,novel,1930,
687,"Eberhart, Mignon G.",The Calico Dog,short story,1934,The Delineator; The Cases of Susan Dare; Rex Stout Mystery Magazine; Crime on Her Mind; Joseph
688,"Eden, Dorothy",THE DEADLY TRAVELLERS,novel,1959,
689,"Ekström, Jan",DEADLY REUNION,novel,1983,
690,"Eldredge, Gilbert",MURDER IN THE STRATOSPHERE,novel,1940,
691,"Ellin, Stanley",The Twelfth Statue,short story,1967,EQMM; Kindly Dig Your Grave; The Specialty of the House; Deadly Arts; Big Book of Locked-Room Mysteries
692,"Ellington, Richard",EXIT FOR A DAME,novel,1951,
693,"Elliot, Bruce",YOU'LL DIE LAUGHING,novel,1945,
694,"Elliot, Bruce",Death Paces the Widow's Walk,short story,1944,The Shadow
695,"Elston, Allan Vaughan",The Shanghaied Ship,short story,1933,Adventure
696,"Elvy, C.",THE MAGIC OF CHEZ FINNIE,novel,1967,
697,Ephesian (Bechhofer Roberts),"Chapter XIII in ""A.B.C. Investigates"" (",short story,1937,
698,"Essex, Richard",SLADE OF THE YARD,novel,1932,
699,"Ethan, John B.",THE BLACK GOLD MURDERS,novel,1959,
700,"Ethan, John B.",MURDER ON WALL STREET,novel,1960,
701,"Evans, Gwyn",THE CASE OF THE CLIMBING CORPSE,novel,1939,
702,"Evans, Gwyn",THE CASE OF THE CRIMSON CONJUROR,novel,1928,
703,"Evans, Gwyn",THE CRYSTAL CELL,novel,1931,
704,"Evans, Gwyn",THE HANGING JUDGE,novel,1936,
705,"Evans, Gwyn",THE HOMICIDE CLUB,novel,1931,
706,"Evans, Gwyn",THE IRON MASK,novel,1938,
707,"Evans, Gwyn",THE SILENT JURY,novel,1930,
708,"Evans, Gwyn",Black Magic,novelette,1924,The Union Jack
709,"Evans, Gwyn",Eclipse!,novelette,1937,The Union Jack No.
710,"Evans, Gwyn",The Man with the Scarlet Skull,short story,1935,Detective Weekly; The Man with the Scarlet Skull
711,"Evans, Gwyn",The Pool of Secrets,short story,1935,Detective Weekly; The Man with the Scarlet Skull
712,"Evans, Howel",The Murder in the Flat,short story,1924,The Murder Club
713,"Evans, Howel",Number One Brings a Gift,short story,1924,The Murder Club
714,"Everton, Francis",INSOLUBLE,novel,1934,
715,"Fairleigh, Runa (L. A. Morse)",AN OLD-FASHIONED MYSTERY,novel,1983,
716,"Fearn, John Russell",MERRIDREW MARCHES ON,novel,1951,
717,"Fearn, John Russell",Chamber of Centuries,short story,1940,Thrilling Mystery
718,"Fearn, John Russell",Robbery Without Violence,novelette,1957,Toronto Star Weekly
719,"Fearn, John Russell",Within That Room,novelette,1946,Toronto Star Weekly
720,"Feeny, Alfred",The Mystery of the Round House,short story,1906,By a Vanished Hand
721,"Ferguson, John",THE GROUSE MOOR MYSTERY,novel,1934,
722,"Fieldhouse, W. L.",Murder Under the Christmas Tree,short story,1980,MSMM
723,"Fielding, A.",THE CLUNY PROBLEM,novel,1928,
724,"Fielding, A.",THE FOOTSTEPS THAT STOPPED,novel,1926,
725,"Findler, Gerald",The House of Screams,short story,1932,Doidge's Western Counties Annual; The Art of the Impossible; Murder Impossible; Resorting to Murder; Poisoned Pen Press
726,"Fitzgerald, Nigel",THE STUDENT BODY,novel,1958,
727,"Fitzgerald, Nigel",SUFFER A WITCH,novel,1958,
728,"Fitzsimmons, Cortland","70,000 WITNESSES",novel,1931,
729,"Flanagan, Thomas",The Fine Italian Hand,short story,1949,EQMM; The Queens' Awards 4th Series; The Locked Room Reader; 8 Doors to Death
730,"Fleming, Joan",POLLY PUT THE KETTLE ON,novel,1952,
731,"Fletcher, Henry",THE NORTH SHORE MYSTERY,novel,1899,
732,"Flinn, Denny Martin",SAN FRANCISCO KILLS,novel,1991,
733,"Flora, Fletcher",A Word for Murder,short story,1964,MSMM; Homicide Department
734,"Flynn, Brian",THE CASE OF THE BLACK TWENTY-TWO,novel,1928,
735,"Flynn, Brian",INVISIBLE DEATH,novel,1929,
736,"Flynn, Brian",MURDER EN ROUTE,novel,1930,
737,"Flynn, Brian",THE SPIKED LION,novel,1933,
738,"Footner, Hulbert",UNNEUTRAL MURDER,novel,1944,
739,"Footner, Hulbert",The Ashcomb Poor Case,short story,1926,Madame Storey; Doran; Big Book of Locked-Room Mysteries
740,"Footner, Hulbert",The Scrap of Lace,short story,1926,Madame Storey
741,"Forbes, Colin",THE GREEK KEY,novel,1989,
742,"Ford, Leslie (see also Frome, David)",Death Stops at a Tourist Camp,novelette,1936,The American Magazine; The Saint Detective Library No. 7; Baker's Dozen; Story-Teller Magazine
743,"Forrest, Norman (Nigel Morland, q.v.)",DEATH TOOK A PUBLISHER,novel,1936,
744,"Forrest, Richard",A CHILD'S GARDEN OF DEATH,novel,1975,
745,"Forrest, Richard",THE DEATH AT YEW CORNER,novel,1980,
746,"Forrest, Richard",DEATH ON THE MISSISSIPPI,novel,1989,
747,"Forrest, Richard",DEATH THROUGH THE LOOKING GLASS,novel,1978,
748,"Forsyte, Charles",DIPLOMATIC DEATH,novel,1961,
749,"Forsyte, Charles",DIVING DEATH,novel,1962,
750,"Forsyte, Charles",MURDER WITH MINARETS,novel,1968,
751,"Foster, John",WATCH ALL NIGHT,novel,1980,
752,"Foster, R. Francis",SOMETHING WRONG AT CHILLERY,novel,1931,
753,"Foster, Richard (Ken Crossen, q.v.)",THE INVISIBLE MAN MURDERS,novel,1945,
754,"Foster, Richard (Ken Crossen, q.v.)",THE LAUGHING BUDDHA MURDERS,novel,1944,
755,"Frances, Stephen",THE ILLUSIONIST,novel,1970,
756,"Franklin, Eugene (Franklin Bandy)",MURDER TRAPP,novel,1971,
757,"Fraser, T. A.",The Pink Carnation,short story,1923,The Eye of Jinas
758,"Freeman, R. Austin",THE JACOB STREET MYSTERY,novel,1942,
759,"Freeman, R. Austin",The Aluminium Dagger,short story,1909,John Thorndyke's Cases; Dr. Thorndyke's Cases; Crimes and Clues; Big Book of Locked-Room Mysteries
760,"Freesland, Wilson S.",Treachery Tarmac,short story,1932,Battle Aces
761,"Friend, Ed",THE CORPSE IN THE CASTLE,novel,1970,
762,"Frome, David (see also Ford, Leslie)",Policeman's Cape,short story,1937,Fifty Famous Detectives of Fiction; World's Great Detective Stories
763,"Frost, Kelman",DEATH REGISTERS AT THE EAGLE ARMS,novel,1948,
764,"Frost, Kelman",The Late Edition,short story,1928,Clues #2; The Best Detective Stories of the Year 1928
765,"Fuller, John",A Mushroom Mystery,short story,1985,The Adventures of Speedfall
766,"Fuller, Timothy","THIS IS MURDER, MR. JONES",novel,1943,
767,"Furnivall, Gordon",THE TRACKER TRACKED,novel,1928,
768,"Futrelle, Jacques",The Case of the Mysterious Weapon,short story,1922,EQMM; The Art of the Impossible; Murder Impossible; Vacuum
769,"Futrelle, Jacques",The Crystal Gazer,short story,1908,The Thinking Machine on the Case; U.K. Nelson; Best Thinking Machine Detective Stories
770,"Futrelle, Jacques",The Flaming Phantom,short story,1907,The Thinking Machine; Best Thinking Machine Detective Stories
771,"Futrelle, Jacques",The House That Was,short story,1952,Death Locked In
772,"Futrelle, Jacques","Kidnapped Baby Blake, Millionaire",short story,1907,Best Thinking Machine Detective Stories
773,"Futrelle, Jacques",The Lost Radium,short story,1907,The Thinking Machine on the Case; The Professor on the Case; Best Thinking Machine Detective Stories
774,"Futrelle, Jacques",The Missing Necklace,short story,1907,The Thinking Machine on the Case; The Professor on the Case; Best Thinking Machine Detective Stories
775,"Futrelle, Jacques",The Phantom Motor Car,short story,1906,Associated Sunday Magazine; The Thinking Machine on the Case; The Professor on the Case; Best Thinking Machine Detective Stories; Big Book of Locked-Room Mysteries
776,"Futrelle, Jacques",The Problem of Cell 13,short story,1982,The Thinking Machine; Best Thinking Machine Detective Stories; Tantalizing Locked Room Mysteries; Big Book of Locked-Room Mysteries
777,"Futrelle, Jacques",The Problem of the Stolen Reubens,short story,1907,Associated Sunday Magazine; EQMM; Best Thinking Machine Detective Stories
778,"Futrelle, Jacques",The Roswell Tiara,short story,1906,The Storyteller; Great Cases of the Thinking Machine
779,"Futrelle, Jacques",The Scarlet Thread,short story,1906,The Thinking Machine; Best Thinking Machine Detective Stories
780,"Futrelle, Jacques",The Vanishing Man,short story,1949,EQMM; Ellery Queen's Lost Men
781,"Futrelle, May",The Grinning God,short story,1952,EQMM; Death Locked In
782,"Gainsley, Sidney",LOVE AND DR. HAWKINS,novel,1945,
783,"Gallon, Tom",The Mystery of the Locked Room,short story,1905,The Pictorial Magazine
784,"Gardiner, Dorothy",THE TRANSATLANTIC GHOST,novel,1933,
785,"Gardner, Curtiss W.",Death's Bright Angel,short story,1948,Street & Smith's Detective Story; Detective Story Annual 1949
786,"Gardner, Curtiss W.",In Bed We Die,short story,1944,Dime Mystery
787,"Gardner, Curtiss W.",Satan's Insidious Chessmen,short story,1944,Dime Mystery
788,"Gardner, Curtiss W.",Sorcery in the Death House,short story,1943,Dime Mystery
789,"Gardner, Erie Stanley",THE CASE OF THE QUEENLY CONTESTANT,novel,1967,
790,"Gardner, Erie Stanley",Bird in the Hand,short story,1932,EQMM; The Hardboiled Dicks; Boardman; Detective Fiction Weekly; Big Book of Locked-Room Mysteries
791,"Gardner, Erie Stanley",The Case of the Runaway Blonde,short story,1937,Two Clues; Cassell
792,"Gardner, Erie Stanley",The Exact Opposite,short story,1939,EQMM; originally in a Popular Publications magazine in; Tantalizing Locked Room Mysteries
793,"Gardner, Erie Stanley",TOO MANY MAGICIANS,novel,1967,
794,"Gardner, Erie Stanley",The Ipswich Phial,short story,1976,Analog; Lord Darcy Investigates
795,"Gardner, Erie Stanley",A Matter of Gravity,short story,1974,Analog; Lord Darcy Investigates; Alfred Hitchcock's Anthology #14
796,"Gardner, Erie Stanley",The Muddle of the Woad,short story,1965,Analog; Murder and Magic
797,"Gardner, Erie Stanley",The Sixteen Keys,short story,1976,Fantastic; Lord Darcy Investigates
798,"Gardner, Erie Stanley",A Stretch of the Imagination,short story,1973,Men and Malice; Murder and Magic
799,"Gayle, Newton",MURDER IN THE HAUNTED SENTRY-BOX,novel,1935,
800,"Gellibrand, Edward",THE END OF A CIGARETTE,novel,1924,
801,"Gellibrand, Edward",THE WINDBLOW MYSTERY,novel,1926,
802,"Gerard, Francis",THE MIND OF JOHN MEREDITH,novel,1946,
803,"Gerard, Francis",SORCERER'S SHAFT,novel,1947,
804,"Gibbons, H.H.C.","The Third Key, or, The Clue of the Horoscope",novel,1924,SBL No. 329
805,"Gibbons, H.H.C.",The House of the Horoscope,novelette,1925,The Union Jack
806,"Gibson, Walter B.",The Green Ghoul,short story,1983,Games
807,"Gibson, Walter B.",One Night in Paris,short story,1955,The Saint Mystery Magazine; Whodunit? Houdini?
808,"Gielgud, Val, and Eric Maschwitz",THE FIRST TELEVISION MURDER,novel,1940,
809,"Gilbert, Anthony",DEATH KNOCKS THREE TIMES,novel,1949,
810,"Gilbert, Kenneth",Murder Is Aboard!,short story,1937,Pocket Detective
811,"Gilbert, Michael",CLOSE QUARTERS,novel,1947,
812,"Gilbert, Michael",DEATH IN CAPTIVITY,novel,1952,
813,"Gilbert, Michael",The Coulman Handicap,short story,1958,EQMM; Ellery Queen's Anthology Fall-Winter 1980; Young Petrella
814,"Gillespie, Robert",THE CROSSWORD MYSTERY,novel,1979,
815,"Gillmore, Rufus",THE EBONY BED MURDER,novel,1932,
816,"Glasby, John S. (see also Merak, A. J.)",Cyanide for Christmas,short story,1990,Mystery for Christmas
817,"Godfrey, Ellen",MURDER BEHIND LOCKED DOORS,novel,1988,
818,"Godfrey, Peter",A Dagger of the Mind,short story,1950,Rolf Le Roux; The Newtonian Egg and Other Stories
819,"Godfrey, Peter",The Flung-Back Lid,short story,1979,John Creasey's Crime Collection 1979; Best Detective Stories of the Year-1980; The Newtonian Egg and Other Stories; Big Book of Locked-Room Mysteries
820,"Godfrey, Peter",Kill and Tell,short story,1950,Rolf Le Roux; The Newtonian Egg and Other Stories
821,"Godfrey, Peter",The Newtonian Egg,short story,1951,All But Impossible!; The Newtonian Egg and Other Stories
822,"Godfrey, Peter",Out of This World,short story,1954,Death Under the Table; Death Locked In
823,"Gollomb, Joseph",THE GIRL IN THE FOG,novel,1923,
824,"Goodchild, George (see also Templeton, Jesse)","CAULDRON, BUBBLE",novel,1946,
825,"Goodchild, George (see also Templeton, Jesse)",COMPANION TO SIRIUS,novel,1949,
826,"Goodchild, George (see also Templeton, Jesse)","Chapter V of ""McLean Keeps Going""",short story,1941,
827,"Goodchild, George (see also Templeton, Jesse)","Chapter X of ""McLean Investigates""",short story,1930,
828,"Goodchild, George (see also Templeton, Jesse)","Chapter XII of ""Well Caught, McLean!""",short story,1953,
829,"Goodchild, George (see also Templeton, Jesse)","Chapter XVII of ""McLean Remembers!""",short story,1936,
830,"Goodchild, George (see also Templeton, Jesse)","Chapter XII of ""McLean of Scotland Yard""",short story,1929,
831,"Goodhue, Stoddard",The Locked Room,short story,1922,
832,"Gore-Brown, Robert",DEATH ON DELIVERY,novel,1929,
833,"Goyne, Richard",THE CRIME PHILOSOPHER,novel,1945,
834,"Graeme, Roderic",SALUTE TO BLACKSHIRT,novel,1954,
835,"Grange, A. Demain",The Round Room Horror,short story,1911,Everybody's Story Magazine
836,"Grant, Maxwell",HIDDEN DEATH,novel,1932,The Shadow Mystery Magazine; Bantam
837,"Grant, Maxwell",THE HOUSE THAT VANISHED,novel,1935,The Shadow MysteryMagazine
838,"Grant, Maxwell",Room 1313,novelette,1954,
839,"Gray, Berkeley (see also Brooks, E. S., and Gunn, Victor)",CALAMITY CONQUEST,novel,1965,
840,"Gray, Curme",MURDER IN MILLENNIUM VI,novel,1951,
841,"Gray, Harold",Murder in the Library,short story,1933,Mirage
842,"Gray, Rod",LAY ME ODDS,novel,1967,
843,"Grayle, Hubert",Three White Hairs,short story,1893,The Ludgate Magazine
844,"Greeley, Andrew M.",HAPPY ARE THE MEEK,novel,1985,
845,"Greeley, Andrew M.",HAPPY ARE THOSE WHO SEARCH FOR JUSTICE,novel,1987,
846,"Green, Alan",THEY DIED LAUGHING,novel,1952,
847,"Green, Alan",WHAT A BODY!,novel,1949,
848,"Green, Anna Katherine",BEHIND CLOSED DOORS,novel,1888,
849,"Green, Anna Katherine",THE FILIGREE BALL,novel,1903,
850,"Green, Anna Katherine",INITIALS ONLY,novel,1911,
851,"Green, Anna Katherine",MISS HURD: AN ENIGMA,novel,1894,
852,"Greene, Graham",Murder for the Wrong Reason,short story,1929,The Graphic; The Last Word
853,"Greenwald, Ken",The Case of the Uneasy Chair,short story,1989,The Lost Adventures of Sherlock Holmes
854,"Gregory, Hylton",THE SIGN OF THE BLACK FEATHER,novel,1939,
855,"Grey, Robin",PUZZLE IN PORCELAIN,novel,1945,
856,"Grey, Vivian",The Bhudda Case,short story,1906,Stories of Scotland Yard
857,"Gridban, Volsted (John Russell Fearn, q.v.)",THE LONELY ASTRONOMER,novel,1954,
858,"Gridban, Volsted (John Russell Fearn, q.v.)",THE MASTER MUST DIE,novel,1953,
859,"Griffin, Vincent",Martin Speed Unveils the Invisible Death,short story,1957,"Schoolboy's Album, 1957"
860,"Groc, Leon",THE BUS THAT VANISHED,novel,1928,
861,"Groner, Augusta",THE MAN WITH THE BLACK CORD,novel,1911,
862,"Guise, Stanley",THE FALCON MYSTERY,novel,1930,
863,"Gumley, F. W.",THE MYSTERY OF THE LOCKED ROOM juvenile,novel,1946,
864,"Gumley, F. W.",DEATH ON SHIVERING SANDS,novel,1946,
865,"Gumley, F. W.",DEVIL IN THE MAZE,novel,1961,
866,"Gumley, F. W.",THE PAINTED DOG,novel,1955,
867,"Gumley, F. W.",Death in December,short story,1943,Ironsides Sees Red
868,"Gumley, F. W.",On the Road to Gallow's Cross,novelette,1947,Three Dates with Death
869,"Gumley, F. W.",The Monkey Trick,short story,1936,The Monkey Trick; Big Book of Locked-Room Mysteries
870,"Hale, Christopher",WITCH WOOD,novel,1940,
871,"Halliday, Brett (Davis Dresser, q.v.)",The Scent of Death,short story,1979,MSMM
872,"Hamilton, Henrietta",THE TWO HUNDRED GHOST,novel,1956,
873,"Hammett, Dashiell","Tom, Dick or Harry",short story,1925,The Creeping Siamese; Mike or Alice or Rufus; Big Book of Locked-Room Mysteries
874,"Hanshew, Mary E. and Thomas W.",THE AMBER JUNK,novel,1924,
875,"Hanshew, Mary E. and Thomas W.",THE FROZEN FLAME,novel,1920,
876,"Hanshew, Mary E. and Thomas W.",THE HOUSE OF DISCORD,novel,1922,
877,"Hanshew, Mary E. and Thomas W.",An Interrupted Holiday,short story,1915,The Riddle of the Mysterious Light; The Riddle of the Fire Opal
878,"Hanshew, Mary E. and Thomas W.",The Mystery of the 'Rope of Fear',short story,1919,Short Stories Magazine; The Riddle of the Mysterious Light
879,"Hanshew, Mary E. and Thomas W.",The Mystery of the Rose of Fire,short story,1915,The Riddle of the Mysterious Light
880,"Hanshew, Mary E. and Thomas W.",The Priceless Statue That Vanished,short story,1915,The Riddle of the Mysterious Light
881,"Hanshew, Mary E. and Thomas W.",The Riddle of the Marble Hand,short story,1920,Short Stories Magazine
882,"Hanshew, Mary E. and Thomas W.",The Riddle of the Painted Shrine,short story,1919,ShortStories Magazine
883,"Hanshew, Mary E. and Thomas W.",The Riddle of the Silver Death,short story,1920,Short Stories Magazine; EQMM
884,"Hanshew, Thomas W.",Chapters XXVI to XXX,short story,1914,Cleek of Scotland Yard; Doubleday
885,"Hanshew, Thomas W.",The Mystery of the Amsterdam Diamonds,short story,1914,Short Stories Magazine
886,"Hanshew, Thomas W.",The Mystery of the Fadeless Tints,short story,1914,Short Stories Magazine
887,"Hanshew, Thomas W.",The Mystery of the Glass Tubes,short story,1914,Short Stories Magazine
888,"Hanshew, Thomas W.",The Mystery of the Sealed Art Gallery,short story,1914,Short Stories Magazine
889,"Hanshew, Thomas W.",The Mystery of the Steel Room,short story,1910,The Man of the Forty Faces; Doubleday; The World's Best One Hundred Detective Stories
890,"Hanshew, Thomas W.",The Riddle of the 5.28,short story,1938,"The Man of the Forty Faces; Cleek, The Master Detective; Challenge to the Reader"
891,"Hanshew, Thomas W.",The Riddle of the Globes of Darkness,short story,1916,Short Stories Magazine
892,"Hanshew, Thomas W.",The Riddle of the Golden Rain,short story,1915,Short Stories Magazine
893,"Hanshew, Thomas W.",The Riddle of the Laughing Girl,short story,1915,Short Stories Magazine
894,"Hanshew, Thomas W.",The Riddle of the Lost Stradivarius,short story,1914,Short Stories Magazine
895,"Hanshew, Thomas W.",The Riddle of the Octagonal Room,short story,1914,Short Stories Magazine
896,"Hanshew, Thomas W.",The Riddle of the Scarlet Monk,short story,1916,Short Stories Magazine
897,"Hanshew, Thomas W.",The Riddle of the Seacliffe Farm,short story,1916,ShortStories Magazine
898,"Hanshew, Thomas W.",The Riddle of the Siva Stones,short story,1910,"The Man of the Forty Faces; Cleek, The Master Detective"
899,"Hanshew, Thomas W.",The Riddle of the Stones of Flame,short story,1916,Short Stories Magazine
900,"Hanshew, Thomas W.",The Valehampton Riddle,short story,1912,Cassell's Magazine of Fiction; The Riddle of the Mysterious Light
901,"Harding, Eric",PRAY FOR THE DAWN,novel,1946,
902,"Harding, Ronald S. L.",THE LIBRARY OF DEATH,novel,1938,
903,"Hardinge, Rex (see also ""Capstan"")",THE GARGOYLE OF PENGELLY,novel,1952,
904,"Hardinge, Rex (see also ""Capstan"")",MURDER TO MUSIC,novel,1937,Detective Weekly
905,"Hardinge, Rex (see also ""Capstan"")",THE PRISONER OF THE MANOR,novel,1952,
906,"Hardinge, Rex (see also ""Capstan"")",THE PROBLEM IN CIPHERS,novel,1952,
907,"Hardinge, Rex (see also ""Capstan"")",THE RIDDLE OF THE INVISIBLE MENACE,novel,1954,
908,"Hardinge, Rex (see also ""Capstan"")",THE RIDDLE OF THE SEALED ROOM,novel,1948,
909,"Hardinge, Rex (see also ""Capstan"")",The Affair of the Colonel's Vengeance,short story,1937,Detective Weekly; Back to Front; The Polite Pirate; Capstan
910,"Hardinge, Rex (see also ""Capstan"")",The Cinema Murder Mystery,short story,1937,Detective Weekly; In the Dark; The Polite Pirate
